contest_id,jurisdiction,party,name_zh,name_en,file,licence,attribution,source_url,status
NTP-COUNCIL-5,新北市,KMT,劉美芳,,KMT-NTP-COUNCIL-5-3697E255.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-6,新北市,KMT,陳錦錠,,KMT-NTP-COUNCIL-6-DD036166.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-6,新北市,KMT,金瑞龍,,KMT-NTP-COUNCIL-6-09522C88.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-7,新北市,KMT,陳鴻源,,KMT-NTP-COUNCIL-7-E4B65104.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-8,新北市,KMT,洪佳君,,KMT-NTP-COUNCIL-8-D2B78504.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-8,新北市,KMT,林金結,,KMT-NTP-COUNCIL-8-D822C6AE.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-8,新北市,KMT,黃永昌,,KMT-NTP-COUNCIL-8-0CFDFCE0.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-9,新北市,KMT,陳儀君,,KMT-NTP-COUNCIL-9-55977B9F.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
NTP-COUNCIL-12,新北市,KMT,楊春妹,,KMT-NTP-COUNCIL-12-EEC34087.webp,政府著作 (CC-BY 4.0 TW),新北市議會,https://www.ntp.gov.tw/councilor-all?program=37,本次新增
KHH-COUNCIL-1,高雄市,KMT,林義迪,,KMT-KHH-COUNCIL-1-9A3A3D49.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-2,高雄市,KMT,李亞築,,KMT-KHH-COUNCIL-2-6FFBAA2A.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-3,高雄市,KMT,方信淵,,KMT-KHH-COUNCIL-3-87B55008.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-3,高雄市,KMT,宋立彬,,KMT-KHH-COUNCIL-3-956EF14C.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-4,高雄市,KMT,陳麗珍,,KMT-KHH-COUNCIL-4-1F60F21A.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-4,高雄市,KMT,陳玫娟,,KMT-KHH-COUNCIL-4-50C7D494.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-4,高雄市,KMT,李眉蓁,,KMT-KHH-COUNCIL-4-0872D316.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-4,高雄市,KMT,李雅芬,,KMT-KHH-COUNCIL-4-11E6B969.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-4,高雄市,KMT,白喬茵,,KMT-KHH-COUNCIL-4-0812DB4E.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-5,高雄市,KMT,吳利成,,KMT-KHH-COUNCIL-5-C7448C5A.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-6,高雄市,KMT,陳美雅,,KMT-KHH-COUNCIL-6-C83EACC9.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-6,高雄市,KMT,蔡金晏,,KMT-KHH-COUNCIL-6-CFBBCEA3.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-7,高雄市,KMT,黃柏霖,,KMT-KHH-COUNCIL-7-3ED7BFCF.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-7,高雄市,KMT,黃香菽,,KMT-KHH-COUNCIL-7-258C722A.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-8,高雄市,KMT,許采蓁,,KMT-KHH-COUNCIL-8-468212AE.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-9,高雄市,KMT,劉德林,,KMT-KHH-COUNCIL-9-07DD6DA6.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-9,高雄市,KMT,李雅靜,,KMT-KHH-COUNCIL-9-95CE8AA6.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-9,高雄市,KMT,鍾易仲,,KMT-KHH-COUNCIL-9-2326F708.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-9,高雄市,KMT,鄭安秝,,KMT-KHH-COUNCIL-9-4AC7E3D6.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-10,高雄市,KMT,陳麗娜,,KMT-KHH-COUNCIL-10-4F2889CF.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-10,高雄市,KMT,蔡武宏,,KMT-KHH-COUNCIL-10-D5DA7070.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-11,高雄市,KMT,黃天煌,,KMT-KHH-COUNCIL-11-E7097022.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
KHH-COUNCIL-11,高雄市,KMT,王耀裕,,KMT-KHH-COUNCIL-11-E5273CFF.webp,政府著作 (CC-BY 4.0 TW),高雄市議會,https://www.kcc.gov.tw/Member_List3.aspx?n=39&sms=9028,本次新增
